layer,kv_head,readout_shape_score,readout_shape_score_median,peak_readout_shape_score,internal_readout_share,memory_readout_share,current_readout_share,internal_topk_concentration,internal_peakiness,boundary_ratio,boundary_suppression,num_observations,u_int_mean,cov_int_mean,cov_oracle_int_mean,score_sum,score_mean_q,score_max_q
15,3,0.1621419021892525,0.1404787426949806,0.0611664174386972,0.5858510316675769,0.7761046634318294,0.2238953462314502,0.354976684546598,0.3277500659227371,0.2807290805725565,0.7192709194274435,80,0.7795573619391225,0.5657615256203712,0.6904853944599337,2.911912073338561,0.4159874390483659,2.390022444448932
16,0,0.1424574399073631,0.1531411756521546,0.0478262230547808,0.5378785162121192,0.6971331504785285,0.302866850293964,0.3565174837244021,0.3194399707019329,0.2490012850964458,0.7509987149035542,80,0.7363584488999244,0.5002579891190992,0.6528162442408779,1360.3736859623934,194.3390979946276,560.1533074138028
16,1,0.1758175446515756,0.1793158347058981,0.0677352284150862,0.6522674120688456,0.9226313216235426,0.0773686785292001,0.4041500485639737,0.3766470246016979,0.298198755296615,0.701801244703385,80,0.6186780369946969,0.4672386546856075,0.6980074678340465,1824.968779150183,260.7098255928833,675.3352381509374
16,2,0.163809307057906,0.1707185487916788,0.0601397811574098,0.5772042140750796,0.7810495856805588,0.2189504059143263,0.3979057188281193,0.3530274856835603,0.2785573499831268,0.7214426500168731,80,0.7486742898003119,0.5431058163804765,0.6975310623042968,495.70741228804815,70.8153446125783,354.0731299012567
16,3,0.1853657499023941,0.1794453187899921,0.0714098757634913,0.6078921641310484,0.8279358499638398,0.1720641646494331,0.4050848020804116,0.3586566548794508,0.293812896165048,0.706187103834952,80,0.7805370446142652,0.5957187142529039,0.7291299761484394,0.5879638409948913,0.0839948344278416,0.5879638409948913
17,0,0.1557888593529893,0.1476120505870439,0.0567463273331807,0.57165911304601,0.7540520027850528,0.245948004074479,0.357984565304059,0.3367186307907104,0.2686834857089169,0.7313165142910831,80,0.7497327171579944,0.5240325621607036,0.6681256586415266,1.2660198514007095,0.1808599787715299,1.2660198514007095
17,1,0.1615425540954431,0.1546559720583621,0.0602819818611493,0.6495305833045437,0.904583069065908,0.0954169251881283,0.3645045984879266,0.3549759361892938,0.3003433168035888,0.6996566831964113,80,0.6590898145371948,0.4723319649629105,0.6658863617041957,1396.717370326543,199.53105290379185,815.4653082875848
17,2,0.1608071724058977,0.1571341875279197,0.0588485411503477,0.6064566093724738,0.8428740080307306,0.1571259890171309,0.3827182016923056,0.3489835925400257,0.2896386718746798,0.7103613281253202,80,0.5938335491684568,0.4159577088054079,0.6503453388431948,1221.812726106863,174.54467515812328,609.2458505463362
17,3,0.1449248961939735,0.1310488690507788,0.0504361270496613,0.5670455061616375,0.7201564449661157,0.2798435563314576,0.32506213830954,0.316872126609087,0.2359188321346015,0.7640811678653985,80,0.7698404311223942,0.4933809707461141,0.6174215848540353,379.2862739016366,54.18375341451952,377.908217815868
18,0,0.1767993638283057,0.161060321966238,0.0664602990173445,0.6582903656226268,0.8492951316797772,0.1507048723302728,0.3634372072155253,0.3497170690447092,0.2628920623581138,0.7371079376418862,80,0.7921758964520814,0.568054949002577,0.6791334625934338,0.0092592592592592,0.0013227513227513,0.0092592592592592
18,1,0.1498553645624949,0.1393010621376607,0.0540885008224689,0.61043354081943,0.8148839272806819,0.1851160771384848,0.3508898257535676,0.3420919813215732,0.2911489622328237,0.7088510377671763,80,0.7553351110620616,0.541159331238301,0.6777683626958766,33.255569275132764,4.750795610733252,33.10342365467135
18,2,0.1346480916301034,0.1186671867638026,0.0454880941574862,0.6083479899404535,0.7803444293187269,0.2196555692449688,0.2989989605594655,0.3032008439302444,0.2533733175521696,0.7466266824478305,80,0.7392703793230239,0.4756282418144232,0.6077967966324538,164.77157342550697,23.53879620364385,131.734680711009
18,3,0.1322312010213484,0.1234878408798125,0.0450457261040911,0.6398969707684528,0.829571334983467,0.1704286596893985,0.2976159771912019,0.3169001199305057,0.2714349167640597,0.7285650832359403,80,0.7621899601780064,0.5130584333117867,0.6268385972238423,0.0666666666666666,0.0095238095238095,0.0666666666666666
19,0,0.1496977789325528,0.1471999585908195,0.0433630145967943,0.7168104811158318,0.9066269209348128,0.0933730694587454,0.2971419516107633,0.2748535066843033,0.2271610743033164,0.7728389256966836,80,0.8032437463360255,0.4629280749169656,0.5477331938144111,487.01355392590096,69.57336484655728,479.3782359930999
19,1,0.1509530942867237,0.1461103182620646,0.045306579395059,0.746770221467633,0.9148569883625892,0.0851430170124411,0.2665698511944926,0.2697675544768572,0.2056656595901394,0.7943343404098605,80,0.6393377143539657,0.3417253027692442,0.4842683509650392,0.0,0.0,0.0
19,2,0.115470454752465,0.1191435924730693,0.026378331690663,0.6623620128801918,0.8062273825479613,0.1937726138657023,0.2401722795019802,0.2227715410292148,0.198943180320817,0.801056819679183,80,0.512229982035451,0.2549069400012888,0.4267205604001201,2165.8311096025905,309.4044442289415,800.6051276919225
19,3,0.1051852766575799,0.1053430037800643,0.0222037140542599,0.6563080184092698,0.7798024574500709,0.2201975395944097,0.2143416057388746,0.2027852043509483,0.1824790262921091,0.8175209737078909,80,0.6766895986652901,0.299405171777822,0.4087219798431925,598.7185404833679,85.53122006905255,379.894168741558
20,0,0.1237598092659144,0.1175802919045808,0.0335497654067561,0.678762580969593,0.8102891685972216,0.189710824213898,0.2334895928099601,0.2419121630489826,0.1825546595361989,0.8174453404638011,80,0.6678077383011142,0.3450875354482181,0.4663271041703517,1.595847084514732,0.227978154930676,1.533347084514732
