layer,kv_head,readout_shape_score,readout_shape_score_median,peak_readout_shape_score,internal_readout_share,memory_readout_share,current_readout_share,internal_topk_concentration,internal_peakiness,boundary_ratio,boundary_suppression,num_observations
12,0,0.2065856056601437,0.19402578340416532,0.08139191949178379,0.682600682005027,0.8795834849700508,0.12041652005338213,0.39879298689091586,0.36839852575212717,0.25896900278627283,0.7410309972137272,80
12,1,0.1569612597641502,0.15940367066453853,0.05171911531318159,0.6036954630810213,0.7219111707345025,0.2780888236516935,0.3160357671356003,0.29881430193781855,0.20483426207656827,0.7951657379234318,80
12,2,0.17064163026884877,0.17393307942130543,0.06034604840196391,0.672290707087724,0.8568552660211953,0.14314473696704347,0.34453997301171924,0.33471677377820014,0.2406200948219134,0.7593799051780865,80
12,3,0.16982218928931875,0.16440204252853807,0.061741737922004894,0.6224596321914008,0.7834385833080785,0.21656142101030115,0.35434239802504913,0.3314566809684038,0.2453915547955811,0.7546084452044189,80
13,0,0.18429161836282698,0.1814716674142671,0.06969560926066909,0.6655068955249572,0.8682949863393435,0.1317050109277071,0.3700840672540422,0.3522143252193928,0.2595486472088334,0.7404513527911666,80
13,1,0.1690586953177867,0.15989794310486607,0.0653370344715343,0.6289458915268623,0.808703343847327,0.1912966550991288,0.33653733638673977,0.3320277910679579,0.25155778041501214,0.7484422195849879,80
13,2,0.16946622132889222,0.16595901803880536,0.06099999010485291,0.6626364463090582,0.8290346082187288,0.17096539462059052,0.3347299352542309,0.3303346548229456,0.23270238327322706,0.767297616726773,80
13,3,0.18436135044845908,0.1813593462540678,0.06783255114398103,0.6555414329507877,0.8128248354992532,0.18717515382623814,0.3496980534671532,0.3350294832140207,0.2251088815924791,0.7748911184075209,80
14,0,0.15004687417709367,0.1426810825100993,0.05496197895117318,0.5851858962036782,0.8422512395898554,0.1577487520440684,0.3930695157893177,0.35529785938560965,0.3095684838166158,0.6904315161833843,80
14,1,0.12629955182977207,0.12078613189522353,0.041859094508634426,0.5101297937801218,0.6387599155430929,0.3612400822664858,0.3401524063881041,0.31176017187535765,0.2177710512763793,0.7822289487236207,80
14,2,0.24505009284696372,0.1857801416636399,0.11106031859670544,0.6752980884222021,0.8448995501635002,0.15510044148755023,0.43497054555648085,0.38244060315191747,0.21876198566925248,0.7812380143307476,80
14,3,0.17413969481466537,0.17343762123676043,0.06462293198657496,0.6062414057850439,0.7809982665616524,0.2190017317492165,0.37916968856146915,0.3460591472685337,0.2516118012594282,0.7483881987405718,80
15,0,0.14568611525851755,0.13809247396666544,0.05166747745868555,0.5119729012095339,0.6399510092798307,0.36004899590924544,0.3457826800160545,0.3039993721991777,0.21823465175410775,0.7817653482458923,80
15,1,0.14890087839295624,0.13049633941266225,0.05924252587555469,0.5521703881129053,0.7209998748516757,0.27900010755692073,0.3462554478237487,0.33228404968976977,0.24424087667349076,0.7557591233265093,80
15,2,0.13870524804186685,0.14864689156984295,0.04639363347298596,0.5249059281966646,0.6758685074142037,0.324131483447914,0.36820861717493514,0.3172326132655144,0.248068378190515,0.7519316218094849,80
15,3,0.16214190218925256,0.1404787426949806,0.06116641743869726,0.5858510316675769,0.7761046634318294,0.22389534623145022,0.354976684546598,0.32775006592273714,0.2807290805725565,0.7192709194274435,80
16,0,0.1424574399073631,0.15314117565215468,0.047826223054780834,0.5378785162121192,0.6971331504785285,0.302866850293964,0.3565174837244021,0.3194399707019329,0.2490012850964458,0.7509987149035542,80
16,1,0.17581754465157567,0.17931583470589815,0.06773522841508624,0.6522674120688456,0.9226313216235426,0.07736867852920018,0.40415004856397374,0.3766470246016979,0.29819875529661505,0.701801244703385,80
16,2,0.16380930705790603,0.17071854879167886,0.06013978115740985,0.5772042140750796,0.7810495856805588,0.2189504059143263,0.3979057188281193,0.35302748568356035,0.27855734998312687,0.7214426500168731,80
16,3,0.18536574990239416,0.17944531878999215,0.07140987576349135,0.6078921641310484,0.8279358499638398,0.1720641646494331,0.4050848020804116,0.3586566548794508,0.293812896165048,0.706187103834952,80
17,0,0.1557888593529893,0.1476120505870439,0.056746327333180746,0.57165911304601,0.7540520027850528,0.24594800407447903,0.35798456530405903,0.33671863079071046,0.2686834857089169,0.7313165142910831,80
17,1,0.16154255409544319,0.1546559720583621,0.0602819818611493,0.6495305833045437,0.9045830690659079,0.0954169251881283,0.3645045984879266,0.35497593618929385,0.3003433168035888,0.6996566831964113,80
17,2,0.16080717240589779,0.1571341875279197,0.058848541150347725,0.6064566093724738,0.8428740080307306,0.15712598901713096,0.38271820169230564,0.3489835925400257,0.28963867187467984,0.7103613281253202,80
17,3,0.14492489619397358,0.13104886905077887,0.05043612704966135,0.5670455061616375,0.7201564449661157,0.2798435563314576,0.32506213830954006,0.316872126609087,0.23591883213460152,0.7640811678653985,80
18,0,0.17679936382830572,0.16106032196623804,0.06646029901734456,0.6582903656226268,0.8492951316797772,0.1507048723302728,0.3634372072155253,0.34971706904470923,0.2628920623581138,0.7371079376418862,80
18,1,0.14985536456249496,0.1393010621376607,0.05408850082246895,0.61043354081943,0.8148839272806819,0.18511607713848482,0.35088982575356764,0.34209198132157326,0.2911489622328237,0.7088510377671763,80
18,2,0.13464809163010344,0.11866718676380263,0.04548809415748624,0.6083479899404535,0.7803444293187269,0.21965556924496882,0.2989989605594655,0.30320084393024443,0.2533733175521696,0.7466266824478305,80
18,3,0.13223120102134844,0.12348784087981256,0.04504572610409115,0.6398969707684528,0.829571334983467,0.17042865968939858,0.2976159771912019,0.31690011993050576,0.2714349167640597,0.7285650832359403,80
19,0,0.1496977789325528,0.1471999585908195,0.04336301459679432,0.7168104811158318,0.9066269209348127,0.09337306945874549,0.2971419516107633,0.2748535066843033,0.22716107430331642,0.7728389256966836,80
19,1,0.15095309428672374,0.14611031826206466,0.04530657939505901,0.746770221467633,0.9148569883625892,0.0851430170124411,0.2665698511944926,0.2697675544768572,0.20566565959013947,0.7943343404098605,80
19,2,0.11547045475246501,0.11914359247306938,0.02637833169066302,0.6623620128801918,0.8062273825479613,0.19377261386570238,0.24017227950198028,0.22277154102921487,0.19894318032081706,0.801056819679183,80
