layer,kv_head,u_int_mean,u_int_median,cov_int_mean,cov_rand_int_mean,cov_oracle_int_mean,boundary_ratio_mean,future_mass_internal_mean,selector_mass_internal_mean,num_observations
13,1,0.6999771157174415,0.6709696951740931,0.4845084784270412,0.021989219941524682,0.6478538378337785,0.13194899315082634,0.3972368163638748,0.48999389794189485,80
13,2,0.8656834755157673,0.8743809775465923,0.5636674453652695,0.021524314252210096,0.6358296318518566,0.15799785238136668,0.45922117175068705,0.5348335530608892,80
13,3,0.8635089975544487,0.865254278494874,0.5779534514575778,0.02213683739413627,0.6547001641541921,0.1483129843103983,0.5139997900463641,0.6037217520643026,80
14,0,0.5251604873425129,0.48854190076156934,0.3948884587514317,0.021756269473818465,0.7061129815184247,0.12836567877308327,0.21969498302787543,0.26227528834715486,80
14,1,0.6261138099330845,0.6019931783973771,0.4098560247162796,0.02202867627078785,0.61657608950868,0.10379661820193961,0.24155447534285485,0.24523633322678506,80
14,2,0.8595794097492201,0.8888374816573315,0.6574091857312532,0.021942816849445712,0.7427465705440406,0.124707044276637,0.5697730387095362,0.6471944833640009,80
14,3,0.8368901210513014,0.8715841720805799,0.6052945128621865,0.021017213521682208,0.6979126556474834,0.1711190533178121,0.37470126007683574,0.4624247503466904,80
15,0,0.7650347439072718,0.7921971704255102,0.49741107298712695,0.021715740142805553,0.6240189005310209,0.1426841937450562,0.3691696664085612,0.4375355329364538,80
15,1,0.6862158849328764,0.6921133000144963,0.4826129645282641,0.021780406652879718,0.6602687005466884,0.13340569672548486,0.30888362734767727,0.3947009267292742,80
15,2,0.6247713982898309,0.6021418267745691,0.41754223287250786,0.021499380638415513,0.6256614880951159,0.11191597125147297,0.2470831217011437,0.258598594320938,80
15,3,0.7795573619391225,0.828710207573366,0.5657615256203712,0.021523482045395444,0.6904853944599337,0.17794529210357699,0.4123769499710761,0.48161967215128243,80
16,0,0.7363584488999244,0.7351909222549792,0.5002579891190992,0.02226585177693642,0.6528162442408779,0.14046128955735732,0.3790358936879784,0.4385566974058747,80
16,1,0.6186780369946969,0.6107100100610232,0.46723865468560755,0.0218919969002239,0.6980074678340465,0.15335470954860644,0.37465598378330467,0.4342712486162782,80
16,2,0.7486742898003119,0.7290593753871775,0.5431058163804765,0.02157415000532078,0.6975310623042968,0.17587475252290924,0.3781316130887717,0.41599407996982335,80
16,3,0.7805370446142652,0.8205359131531302,0.5957187142529039,0.021635118627924128,0.7291299761484394,0.20277013810235353,0.39838729542680085,0.47144922849256543,80
17,0,0.7497327171579944,0.7688071964062675,0.5240325621607036,0.021607857277293925,0.6681256586415266,0.15138038680684784,0.3842604069533991,0.47591919208643957,80
17,1,0.6590898145371948,0.6214721032475742,0.4723319649629105,0.02175376017892959,0.6658863617041957,0.15844483861256425,0.41253652959130704,0.5044782104901969,80
17,2,0.5938335491684568,0.5664617832829362,0.41595770880540794,0.022218885204947865,0.6503453388431948,0.1466263983357336,0.353491437761113,0.4487035700120032,80
17,3,0.7698404311223942,0.7895647869292283,0.49338097074611414,0.021707427209226537,0.6174215848540353,0.14343229367202576,0.45537521929945796,0.5486389133147895,80
18,0,0.7921758964520814,0.8397370636761127,0.568054949002577,0.02182869729539396,0.6791334625934338,0.18396897452972033,0.44817360664601436,0.5039008753432427,80
18,1,0.7553351110620616,0.7666434529470703,0.541159331238301,0.021912405395934847,0.6777683626958766,0.19828116695529294,0.4575616364716552,0.5149800952756778,80
18,2,0.7392703793230239,0.7326234364852211,0.4756282418144232,0.021773378130798503,0.6077967966324538,0.16866047006593635,0.490405133436434,0.555237942468375,80
18,3,0.7621899601780064,0.795548851738404,0.5130584333117867,0.02144842886057307,0.6268385972238423,0.1958613967924461,0.47532953270711004,0.5382322390098124,80
19,0,0.8032437463360255,0.8123146263425565,0.46292807491696564,0.021983416436084507,0.5477331938144111,0.14316970465077777,0.5093214603606612,0.5851049445569515,80
19,1,0.6393377143539657,0.5621187091224775,0.34172530276924423,0.021962491558157264,0.48426835096503923,0.14617591313296258,0.5984154067467898,0.6723078959446867,80
19,2,0.512229982035451,0.4608494410431281,0.2549069400012888,0.02182474593320701,0.4267205604001201,0.08899922389808505,0.5622553722001612,0.6825183097273111,80
19,3,0.6766895986652901,0.6790461107562106,0.299405171777822,0.021712993711035945,0.40872197984319253,0.10104740272830544,0.5182133501861245,0.578670106921345,80
20,0,0.6678077383011142,0.630470404578263,0.34508753544821813,0.021743212438064242,0.4663271041703517,0.1021801859694051,0.5380060442606919,0.6324369936366565,80
20,1,0.6245206235047223,0.6104126310744582,0.3578404101602577,0.021874981110841643,0.5118200686006804,0.1192593820415138,0.5107500293292105,0.6018925392068922,80
20,2,0.6972441093913304,0.7364164344605386,0.34319139230118323,0.021711380755335886,0.44838561268175703,0.10039714315211581,0.5895355437416583,0.6860884048976004,80
20,3,0.7095494553251718,0.7172213035030703,0.32442420723566584,0.021981745227047822,0.42337645238789323,0.10423626334927287,0.5712814894504845,0.6566872916184365,80
21,0,0.6680051126254629,0.6469672669945663,0.33345316040311956,0.02206797616548509,0.45892688757307853,0.1048286505567346,0.44238083716481924,0.4939313629642129,80
21,1,0.7019637261993561,0.6927231491168075,0.37691970772662087,0.02208193228049641,0.4927495610953243,0.12845884071256808,0.5004590337630361,0.60228600082919,80
21,2,0.5909249966683288,0.5626041743004757,0.3211617330401505,0.021813768834084285,0.481998927341076,0.10658190483449756,0.5149521716171875,0.6245135108940303,80
21,3,0.6638287976009198,0.6508189346681891,0.32010606979472433,0.02150065861658006,0.4393700042419494,0.10107059844202074,0.42608687868341805,0.4969370158389211,80
22,0,0.48466290909987375,0.4279169758251522,0.2922035362014367,0.022087773527558446,0.5305980979069769,0.09448391419154797,0.5429972148500383,0.6694283988326788,80
22,1,0.6279405952135,0.5948613449084261,0.31546548756807674,0.022027873762988162,0.4541441896533736,0.09798537787714402,0.4881036901846528,0.5733381366357208,80
22,2,0.842686486195347,0.8384544029547547,0.44875454050143937,0.02186539968935556,0.5129006832893409,0.10660377398135375,0.44441094836220146,0.49872335968539117,80
22,3,0.6403688667773243,0.6001242120910096,0.3452077880549991,0.021421461628176344,0.49583663035520853,0.09278705026956405,0.4563174769282341,0.5305351462215185,80
23,0,0.8681322313398973,0.8731381758450271,0.4729265664409259,0.021998991806101043,0.5313504309262165,0.08634298601466343,0.3745925129391253,0.40945012867450714,80
23,1,0.5926629837076418,0.5654502489037188,0.33186760257322445,0.021766349519268903,0.4998530430277491,0.10078779929216412,0.43428960964083674,0.5205455608665943,80
23,2,0.700703805227867,0.6859418364351952,0.39155642778765837,0.021468319282119133,0.5212103281791206,0.11394029490649311,0.4853012401610613,0.5785162804648281,80
23,3,0.8016596822586022,0.8231074248711568,0.49204612357963456,0.021576252048604163,0.5912721218459666,0.17155711993813758,0.5279584445990622,0.6203419291763567,80
24,0,0.6155850934246396,0.5677876167458842,0.2774386029614414,0.022124368888639084,0.41334103774435216,0.10198135142659262,0.43451748355291786,0.5249888003978412,80
24,1,0.9289758456211187,0.9350608496430455,0.6127376503288826,0.021271905188897166,0.6523406897658407,0.10722916280444209,0.4984965431969613,0.5905622208490968,80
24,2,0.7038694118510344,0.6899582466271562,0.3423309780280515,0.022053692794101666,0.45050807598248055,0.09890182742816342,0.5241093606688082,0.6273667891509831,80
24,3,0.7525132094649216,0.7338255311636723,0.39515617402983866,0.021734558643930636,0.5051108134789946,0.10603422888824013,0.46616110536269845,0.5117043184116483,80
25,0,0.7041498210179683,0.6687549642284416,0.3552461764200635,0.021900257646803374,0.4608870416062424,0.13230922564876063,0.485672476189211,0.5839120950782671,80
25,1,0.8313292716187972,0.8428860580299946,0.4093845740189429,0.02166278935964568,0.47927978539711286,0.0878390261174152,0.557843615487218,0.6242795018479228,80
25,2,0.6970722882979309,0.6575235392530521,0.3894669024471146,0.021416404900026834,0.5148671715201643,0.1385098848575525,0.4868460418307222,0.5792878415668383,80
25,3,0.6778483979857047,0.6568323988543721,0.3699542095308791,0.022037909125249288,0.499227765616455,0.11203277668264526,0.4975441533140838,0.6084345624782145,80
26,0,0.911444154795525,0.9126118285336624,0.5548811026747178,0.02178901934934996,0.6037407302300382,0.12024838266760504,0.4609844833612442,0.5064017622731626,80
26,1,0.9376187777071111,0.9486789791821787,0.6241632278589295,0.022124008293106647,0.6604304325180428,0.1572554398703743,0.45554022388532756,0.5329253314062953,80
26,2,0.855311548974554,0.861879735290101,0.517670053599719,0.021679001903055013,0.5940441179888791,0.11911680778205143,0.46215364430099726,0.5183024026453495,80
26,3,0.6783384740709791,0.6900537332140791,0.3701815682482166,0.02148539757074723,0.5059687869815265,0.10722419393281826,0.41817697123624387,0.5115463471505791,80
27,0,0.8950801102242968,0.9049883804002955,0.492711846208943,0.021564515147244882,0.5415652027230634,0.11489619986955601,0.5998930690810085,0.6660266263410449,80
27,1,0.6747150444672999,0.6138726923861235,0.38749130351335154,0.021548992084490504,0.5329198990606449,0.12906126582007252,0.46302670069531804,0.5264739575190902,80
27,2,0.8755526766138372,0.8838233883211128,0.44152754556507007,0.021940541503503642,0.4927679610574064,0.0864870936240356,0.5877267147414387,0.6511996623128653,80
27,3,0.8644393221081795,0.8692571300620386,0.4231362961066574,0.02151177751729315,0.4780543951501287,0.10450242081709807,0.6003485633991659,0.6706930108368396,80
