layer,kv_head,q_heads,score_sum,score_mean_q,score_max_q,u_int_mean,u_int_median,cov_int_mean,cov_rand_int_mean,cov_oracle_int_mean,boundary_ratio_mean,future_mass_internal_mean,selector_mass_internal_mean,num_observations,sparse_rank,u_rank,sparse_quantile
10,2,14-20,1.0347052730360264,0.1478150390051466,0.9356576539884074,0.848476357247008,0.8475148744296137,0.6155191103501709,0.0210002911051171,0.7018237854126368,0.1476562109020027,0.4896981424128171,0.5712808003183454,80,84,33,Q2
10,3,21-27,0.0,0.0,0.0,0.6774638705223994,0.6482836189626024,0.4698644618667824,0.021687786816414,0.6437118550327249,0.1480980708804005,0.4508749659489695,0.5542403482882946,80,96,90,Q1_low
11,0,0-6,9.827735759201056,1.4039622513144363,9.827735759201056,0.7969634371465041,0.8250384861109262,0.5117043886491931,0.0221220172647702,0.6143731843388085,0.1263326463666918,0.3470595873208367,0.4364935746707488,80,64,50,Q3
11,1,7-13,25.89548052837913,3.699354361197019,22.374201034878624,0.7718344821718441,0.7765452975829437,0.5601830606531911,0.0215190362589401,0.6882686792143485,0.138870559833724,0.2995409435010515,0.3537842003628612,80,56,58,Q3
11,2,14-20,0.0092592592592592,0.0013227513227513,0.0092592592592592,0.6865616010185767,0.6674187226817125,0.4995954903141226,0.0216898798532144,0.6800298011915769,0.1408649909566152,0.3025742229227035,0.4122467418186716,80,94,86,Q1_low
11,3,21-27,376.0469257274698,53.72098938963855,300.1403816415763,0.8316813574975737,0.8366893228804115,0.5522442930396515,0.0220278723841903,0.6413027727958365,0.1275019242991968,0.4270204199012369,0.5008212509565055,80,34,40,Q4
12,0,0-6,0.2030994838494838,0.0290142119784976,0.1361530969030969,0.8143636425765196,0.826350684223074,0.6055403793535824,0.0217431467243114,0.7127447656721949,0.1673786345959896,0.4349516676564235,0.5200817173696123,80,89,47,Q2
12,1,7-13,6.942528234846424,0.9917897478352036,6.789089081407271,0.8613689412588382,0.8679832849274287,0.5332220806701246,0.0217093798343512,0.6036735251065918,0.1242230975768663,0.386515839304775,0.4644859340507537,80,67,28,Q3
12,2,14-20,106.19555464039276,15.17079352005611,100.77726088130728,0.8459649921070135,0.8368592371741306,0.5435696258101639,0.0211410625600478,0.6208818573565078,0.1498437391733964,0.3724663533270359,0.4392882246524096,80,50,34,Q3
12,3,21-27,298.0176935829644,42.573956226137774,297.50370918478507,0.7343742097148602,0.744451228771222,0.5021510196684743,0.0218481098194301,0.6579846145010207,0.1160774244672232,0.3284855316858738,0.3948288018582389,80,39,73,Q4
13,0,0-6,4.839860431807436,0.691408633115348,2.9106914822689616,0.8320255189505161,0.844057987005958,0.5865919570998678,0.021411756396153,0.677082441996224,0.1711451180225809,0.4475534093566239,0.5309232664760202,80,70,39,Q2
13,1,7-13,0.1369292717086834,0.0195613245298119,0.0753221288515406,0.6999771157174415,0.6709696951740931,0.4845084784270412,0.0219892199415246,0.6478538378337785,0.1319489931508263,0.3972368163638748,0.4899938979418948,80,90,82,Q1_low
13,2,14-20,2.924509361174713,0.4177870515963875,2.3564656456309976,0.8656834755157673,0.8743809775465923,0.5636674453652695,0.02152431425221,0.6358296318518566,0.1579978523813666,0.459221171750687,0.5348335530608892,80,74,25,Q2
13,3,21-27,5.831052750020905,0.833007535717272,3.878529000474427,0.8635089975544487,0.865254278494874,0.5779534514575778,0.0221368373941362,0.6547001641541921,0.1483129843103983,0.5139997900463641,0.6037217520643026,80,68,27,Q2
14,0,0-6,2984.999367408341,426.42848105833446,861.5073665971261,0.5251604873425129,0.4885419007615693,0.3948884587514317,0.0217562694738184,0.7061129815184247,0.1283656787730832,0.2196949830278754,0.2622752883471548,80,2,110,Q5_high
14,1,7-13,650.8043740703723,92.9720534386246,530.2021291087256,0.6261138099330845,0.6019931783973771,0.4098560247162796,0.0220286762707878,0.61657608950868,0.1037966182019396,0.2415544753428548,0.245236333226785,80,24,101,Q4
14,2,14-20,18.87059424926544,2.6957991784664914,8.313605492654087,0.8595794097492201,0.8888374816573315,0.6574091857312532,0.0219428168494457,0.7427465705440406,0.124707044276637,0.5697730387095362,0.6471944833640009,80,57,29,Q3
14,3,21-27,63.93387862792687,9.133411232560984,53.79505969651221,0.8368901210513014,0.8715841720805799,0.6052945128621865,0.0210172135216822,0.6979126556474834,0.1711190533178121,0.3747012600768357,0.4624247503466904,80,52,38,Q3
15,0,0-6,3.902325823940047,0.557475117705721,3.3454263345405577,0.7650347439072718,0.7921971704255102,0.4974110729871269,0.0217157401428055,0.6240189005310209,0.1426841937450562,0.3691696664085612,0.4375355329364538,80,71,60,Q2
15,1,7-13,0.4488048085609061,0.064114972651558,0.4488048085609061,0.6862158849328764,0.6921133000144963,0.4826129645282641,0.0217804066528797,0.6602687005466884,0.1334056967254848,0.3088836273476772,0.3947009267292742,80,87,87,Q2
15,2,14-20,1775.3794777495225,253.6256396785032,671.510749519399,0.6247713982898309,0.6021418267745691,0.4175422328725078,0.0214993806384155,0.6256614880951159,0.1119159712514729,0.2470831217011437,0.258598594320938,80,7,102,Q5_high
15,3,21-27,2.911912073338561,0.4159874390483659,2.390022444448932,0.7795573619391225,0.828710207573366,0.5657615256203712,0.0215234820453954,0.6904853944599337,0.1779452921035769,0.4123769499710761,0.4816196721512824,80,75,56,Q2
16,0,0-6,1360.3736859623934,194.3390979946276,560.1533074138028,0.7363584488999244,0.7351909222549792,0.5002579891190992,0.0222658517769364,0.6528162442408779,0.1404612895573573,0.3790358936879784,0.4385566974058747,80,11,72,Q5_high
16,1,7-13,1824.968779150183,260.7098255928833,675.3352381509374,0.6186780369946969,0.6107100100610232,0.4672386546856075,0.0218919969002239,0.6980074678340465,0.1533547095486064,0.3746559837833046,0.4342712486162782,80,6,104,Q5_high
16,2,14-20,495.70741228804815,70.8153446125783,354.0731299012567,0.7486742898003119,0.7290593753871775,0.5431058163804765,0.0215741500053207,0.6975310623042968,0.1758747525229092,0.3781316130887717,0.4159940799698233,80,29,70,Q4
16,3,21-27,0.5879638409948913,0.0839948344278416,0.5879638409948913,0.7805370446142652,0.8205359131531302,0.5957187142529039,0.0216351186279241,0.7291299761484394,0.2027701381023535,0.3983872954268008,0.4714492284925654,80,85,55,Q2
17,0,0-6,1.2660198514007095,0.1808599787715299,1.2660198514007095,0.7497327171579944,0.7688071964062675,0.5240325621607036,0.0216078572772939,0.6681256586415266,0.1513803868068478,0.3842604069533991,0.4759191920864395,80,83,69,Q2
