class,bin,x,mean_density,local_density,global_density
current,45,0.2275,1.3129551500246517e-05,1.3798607420176858e-05,1.2460495580316175e-05
current,46,0.2325,9.221951240509976e-06,9.925598354649473e-06,8.518304126370479e-06
current,47,0.23750000000000002,9.358558318621208e-06,9.837858185279968e-06,8.87925845196245e-06
current,48,0.2425,4.238895246470594e-06,4.622770437545232e-06,3.855020055395956e-06
current,49,0.2475,5.9782169431952885e-06,6.476770623335555e-06,5.479663263055021e-06
current,50,0.2525,4.5879566537356466e-06,4.9688308280706995e-06,4.207082479400594e-06
current,51,0.2575,5.524512102456297e-06,6.008508709750718e-06,5.040515495161876e-06
current,52,0.2625,4.517693530369915e-06,4.989645447778174e-06,4.0457416129616575e-06
current,53,0.2675,9.715983492500609e-06,1.0363702267346974e-05,9.068264717654246e-06
current,54,0.2725,3.605158790326806e-06,3.996479601302734e-06,3.213837979350879e-06
current,55,0.2775,7.270308652158002e-06,7.824832975644879e-06,6.7157843286711254e-06
current,56,0.28250000000000003,4.2778735531827535e-06,4.678353360605951e-06,3.8773937457595565e-06
current,57,0.28750000000000003,6.606155313310463e-06,7.149547124419308e-06,6.062763502201618e-06
current,58,0.2925,5.565656453389787e-06,6.066898715677733e-06,5.064414191101841e-06
current,59,0.2975,7.787397498612029e-06,8.43228859555704e-06,7.142506401667017e-06
current,60,0.3025,6.656560499182687e-06,7.11490243390897e-06,6.1982185644564044e-06
current,61,0.3075,9.423588774769666e-06,9.921263376973948e-06,8.925914172565384e-06
current,62,0.3125,6.7364970377255235e-06,7.2313261135640425e-06,6.2416679618870045e-06
current,63,0.3175,1.9710869852209365e-05,2.1224304847036566e-05,1.8197434857382164e-05
current,64,0.3225,6.109368694449603e-06,6.943647062374336e-06,5.275090326524871e-06
current,65,0.3275,8.530462073815818e-06,9.23496604952691e-06,7.825958098104726e-06
current,66,0.3325,3.3648252869253072e-06,3.8023107358433417e-06,2.9273398380072733e-06
current,67,0.3375,8.282196652296328e-06,8.738239999912639e-06,7.826153304680017e-06
current,68,0.3425,3.0727168636572473e-06,3.492398363207101e-06,2.6530353641073934e-06
current,69,0.34750000000000003,5.5305579609195136e-06,5.898915420201975e-06,5.162200501637052e-06
current,70,0.35250000000000004,2.155360140132079e-06,2.420106616463945e-06,1.890613663800213e-06
current,71,0.3575,4.945256723186066e-06,5.417452687847149e-06,4.473060758524983e-06
current,72,0.3625,3.0770918995175364e-06,3.4032350531442835e-06,2.750948745890789e-06
current,73,0.3675,3.3229817491131483e-06,3.6854937303661398e-06,2.9604697678601573e-06
current,74,0.3725,5.3053191177699085e-06,5.825275855522114e-06,4.785362380017703e-06
current,75,0.3775,2.6918652808900604e-06,3.027707813848261e-06,2.3560227479318603e-06
current,76,0.3825,5.096634092330839e-06,5.556685516472947e-06,4.636582668188732e-06
current,77,0.3875,4.560232418960474e-06,4.967856585761939e-06,4.152608252159009e-06
current,78,0.3925,5.830481204124485e-06,6.343063638688399e-06,5.317898769560573e-06
current,79,0.3975,3.4291062162723884e-06,3.7039390370161773e-06,3.1542733955286e-06
current,80,0.4025,1.1475196601863546e-05,1.197826079326412e-05,1.0972132410462971e-05
current,81,0.40750000000000003,5.1838562977313695e-06,5.591710031755209e-06,4.77600256370753e-06
current,82,0.41250000000000003,1.9339636344136726e-05,1.9973305597886792e-05,1.8705967090386662e-05
current,83,0.41750000000000004,9.30970520363638e-06,1.0160541087139059e-05,8.458869320133703e-06
current,84,0.4225,9.249298451158942e-06,9.77038327977862e-06,8.728213622539265e-06
current,85,0.4275,4.423594003330803e-06,4.767057981189873e-06,4.080130025471731e-06
current,86,0.4325,8.778469877085343e-06,9.21160904183964e-06,8.345330712331048e-06
current,87,0.4375,3.4946262029610473e-06,3.7267238551580645e-06,3.2625285507640306e-06
current,88,0.4425,5.369462733164574e-06,5.70351602096093e-06,5.0354094453682175e-06
current,89,0.4475,2.9945772225446844e-06,3.2417103410624534e-06,2.7474441040269154e-06
current,90,0.4525,4.1607594101759634e-06,4.44681049833145e-06,3.874708322020477e-06
