region,bin,x,local_density,global_density
previous,123,-0.38250000000000006,6.601578958552938e-06,6.156150213997495e-06
previous,124,-0.37750000000000006,4.8373455829637725e-06,4.210669439822127e-06
previous,125,-0.37250000000000005,1.0760931866000145e-05,8.866929286792306e-06
previous,126,-0.36750000000000005,1.2408583963098999e-05,1.1735167457175356e-05
previous,127,-0.36250000000000004,1.7989632012802072e-05,1.5392132339165262e-05
previous,128,-0.35750000000000004,2.339608764435868e-05,2.147750926066642e-05
previous,129,-0.35250000000000004,1.2797809530159225e-05,1.1697345508137828e-05
previous,130,-0.34750000000000003,1.5674234347204442e-05,1.3793250870182943e-05
previous,131,-0.3425,1.4364879025532905e-05,1.2593102970610015e-05
previous,132,-0.3375,4.934875344609244e-06,4.347789422383255e-06
previous,133,-0.3325,7.2303590548423406e-06,6.453238207967326e-06
previous,134,-0.3275,2.318405309219313e-05,1.9294648573612814e-05
previous,135,-0.3225,1.3360142745870355e-05,1.1461246117541905e-05
previous,136,-0.3175,1.1902414994899131e-05,1.0587197347274121e-05
previous,137,-0.3125,1.3943797846501272e-05,1.2115756855684318e-05
previous,138,-0.3075,6.69640938001846e-06,6.003869541644361e-06
previous,139,-0.3025,5.16116036381249e-06,4.4619215785899065e-06
previous,140,-0.2975,8.212735465192788e-06,6.6607831062053345e-06
previous,141,-0.2925000000000001,1.682560113864489e-05,1.3953586177517744e-05
previous,142,-0.2875000000000001,2.5165908189640734e-05,2.1210991797184594e-05
previous,143,-0.2825000000000001,1.3798052002010647e-05,1.4301458163682741e-05
previous,144,-0.2775000000000001,1.2355091570923354e-05,1.0437425811039818e-05
previous,145,-0.2725000000000001,1.1255614330243402e-05,1.0259371308704862e-05
previous,146,-0.26750000000000007,5.573174611293891e-06,4.63757149855944e-06
previous,147,-0.26250000000000007,8.889889089377537e-06,7.815689422237571e-06
previous,148,-0.25750000000000006,1.3197762833506053e-05,1.1635092635439771e-05
previous,149,-0.25250000000000006,1.1546922711633324e-05,1.002017839713214e-05
previous,150,-0.24750000000000005,5.006001604284875e-06,4.933727435920506e-06
previous,151,-0.24250000000000005,6.3765943619401645e-06,5.3880181315400815e-06
previous,152,-0.23750000000000004,5.539545969653824e-06,4.871609718039492e-06
previous,153,-0.23250000000000004,2.4546222205952625e-05,2.0853778323472382e-05
previous,154,-0.22750000000000004,1.1704915994162743e-05,1.0495185583804948e-05
previous,155,-0.22250000000000003,5.816856503482409e-06,5.2201488390507195e-06
previous,156,-0.21750000000000003,5.537164831537211e-06,4.8342944549785865e-06
previous,157,-0.21250000000000002,4.635381878826746e-06,3.994308191702678e-06
previous,158,-0.20750000000000002,5.200196692068517e-06,4.676151930669236e-06
previous,159,-0.2025,5.233950408679374e-06,4.634553315377602e-06
previous,160,-0.1975,5.594500014089012e-06,4.969303620802895e-06
previous,161,-0.1925,4.5759983709741875e-06,4.09695693022772e-06
previous,162,-0.1875,5.740693841599931e-06,4.940103776682022e-06
previous,163,-0.1825,6.134659774818722e-06,5.3933498342203444e-06
previous,164,-0.1775,7.3002810186440624e-06,6.541115975615097e-06
previous,165,-0.1725,5.781307500938032e-06,5.186921208408303e-06
previous,166,-0.16749999999999998,7.038601765357526e-06,6.327510898152431e-06
previous,167,-0.1625000000000001,4.800455107744956e-06,4.173592420562326e-06
previous,168,-0.15750000000000008,5.260584507143495e-06,4.714731655027714e-06
