layer,head,score_sum,score_mean,nonzero,max
3,17,0.0,0.0,0,0.0
3,18,0.0,0.0,0,0.0
3,19,0.0,0.0,0,0.0
3,20,0.0,0.0,0,0.0
3,21,0.0,0.0,0,0.0
3,22,0.0,0.0,0,0.0
3,23,0.0,0.0,0,0.0
3,24,0.0,0.0,0,0.0
3,25,0.0,0.0,0,0.0
3,26,0.0,0.0,0,0.0
3,27,0.0,0.0,0,0.0
4,0,0.7158374468668587,0.0007158374468668587,17,0.125
4,1,0.6043146832814015,0.0006043146832814015,17,0.1
4,2,0.0,0.0,0,0.0
4,3,0.0,0.0,0,0.0
4,4,0.5539401403194506,0.0005539401403194506,13,0.1
4,5,0.0,0.0,0,0.0
4,6,0.0,0.0,0,0.0
4,7,0.0,0.0,0,0.0
4,8,640.981903030267,0.6409819030302669,827,8.304924242424239
4,9,427.72590441549755,0.42772590441549757,818,2.882142857142858
4,10,105.97233022208934,0.10597233022208934,594,2.202991452991453
4,11,3.328772160847823,0.0033287721608478227,72,0.16666666666666666
4,12,0.0,0.0,0,0.0
4,13,1.0542311108672664,0.0010542311108672664,26,0.1
4,14,0.0,0.0,0,0.0
4,15,0.0,0.0,0,0.0
4,16,0.0,0.0,0,0.0
4,17,0.0,0.0,0,0.0
4,18,0.0,0.0,0,0.0
4,19,0.0,0.0,0,0.0
4,20,0.0,0.0,0,0.0
4,21,0.0,0.0,0,0.0
4,22,0.0,0.0,0,0.0
4,23,0.0,0.0,0,0.0
4,24,1.2686323243868,0.0012686323243868,34,0.13636363636363635
4,25,0.0,0.0,0,0.0
4,26,0.0,0.0,0,0.0
4,27,0.0,0.0,0,0.0
5,0,3.0536665951294433,0.003053666595129443,77,0.11904761904761904
5,1,0.0,0.0,0,0.0
5,2,0.0,0.0,0,0.0
5,3,0.0,0.0,0,0.0
5,4,0.0,0.0,0,0.0
5,5,7.320146204404992,0.007320146204404992,138,0.3630952380952381
5,6,0.0,0.0,0,0.0
5,7,0.0,0.0,0,0.0
5,8,0.13868003341687551,0.00013868003341687552,4,0.07142857142857142
5,9,0.0,0.0,0,0.0
5,10,0.05,5e-05,1,0.05
5,11,12.955606815948913,0.012955606815948914,224,0.45346320346320346
5,12,0.12807794057794059,0.00012807794057794058,5,0.038461538461538464
5,13,0.0,0.0,0,0.0
5,14,0.0,0.0,0,0.0
5,15,0.25170344560588465,0.00025170344560588464,8,0.07142857142857142
5,16,0.0,0.0,0,0.0
5,17,7.14026573939516,0.0071402657393951595,119,0.5
5,18,215.649300331139,0.215649300331139,730,3.0891936129005098
5,19,550.9036678647311,0.5509036678647311,834,6.910227272727263
5,20,37.40010859210959,0.03740010859210959,381,1.1090909090909091
5,21,1.3768751285175926,0.0013768751285175927,36,0.20833333333333331
5,22,0.0,0.0,0,0.0
5,23,0.0,0.0,0,0.0
5,24,0.12509077705156135,0.00012509077705156134,3,0.08333333333333333
5,25,0.0,0.0,0,0.0
5,26,0.05096153846153846,5.096153846153846e-05,2,0.038461538461538464
5,27,0.0,0.0,0,0.0
6,0,0.0,0.0,0,0.0
6,1,0.0,0.0,0,0.0
6,2,0.0,0.0,0,0.0
6,3,0.0,0.0,0,0.0
6,4,0.0,0.0,0,0.0
6,5,0.0,0.0,0,0.0
6,6,0.0,0.0,0,0.0
6,7,7.138797159052714,0.007138797159052714,168,0.3333333333333333
6,8,0.0,0.0,0,0.0
6,9,3.684730708159416,0.003684730708159416,89,0.14285714285714285
6,10,0.0,0.0,0,0.0
6,11,0.5416869438453878,0.0005416869438453878,14,0.08333333333333333
6,12,0.0,0.0,0,0.0
6,13,0.0,0.0,0,0.0
6,14,0.0,0.0,0,0.0
6,15,0.0,0.0,0,0.0
6,16,0.0,0.0,0,0.0
6,17,0.0,0.0,0,0.0
6,18,0.0,0.0,0,0.0
6,19,0.0,0.0,0,0.0
6,20,0.0,0.0,0,0.0
6,21,0.0,0.0,0,0.0
6,22,0.0,0.0,0,0.0
6,23,0.0,0.0,0,0.0
6,24,0.0,0.0,0,0.0
6,25,0.0,0.0,0,0.0
6,26,0.0,0.0,0,0.0
6,27,0.0,0.0,0,0.0
7,0,0.0,0.0,0,0.0
7,1,0.023809523809523808,2.3809523809523807e-05,1,0.023809523809523808
7,2,0.0,0.0,0,0.0
7,3,0.0,0.0,0,0.0
7,4,0.0,0.0,0,0.0
7,5,0.0,0.0,0,0.0
7,6,345.5422179839949,0.34554221798399487,809,2.8674192665571976
7,7,0.0,0.0,0,0.0
7,8,0.0,0.0,0,0.0
7,9,0.00980392156862745,9.803921568627451e-06,1,0.00980392156862745
7,10,0.4227982162764772,0.0004227982162764772,8,0.1
7,11,0.0,0.0,0,0.0
7,12,0.03333333333333333,3.3333333333333335e-05,1,0.03333333333333333
7,13,0.0,0.0,0,0.0
7,14,3.086109686302831,0.003086109686302831,65,0.225
7,15,0.0,0.0,0,0.0
7,16,0.0,0.0,0,0.0
7,17,0.0,0.0,0,0.0
7,18,9.410130751502848,0.009410130751502849,203,0.21428571428571427
7,19,0.0,0.0,0,0.0
7,20,0.0,0.0,0,0.0
7,21,0.08249158249158249,8.24915824915825e-05,2,0.045454545454545456
7,22,7.649254052110504,0.007649254052110505,142,0.36250000000000004
7,23,5.544256424180427,0.005544256424180427,120,0.2777777777777778
7,24,0.08931203931203932,8.931203931203932e-05,3,0.05
7,25,0.6444549613027873,0.0006444549613027873,13,0.15
7,26,3.3213761764704186,0.0033213761764704186,81,0.12962962962962962
7,27,0.0,0.0,0,0.0
