layer,head,eager_current_share_global,eager_current_share_local,manual_current_share_global,manual_current_share_local,manual_s_current_share,eager_s_current_share
2,0,0.40822727382183077,0.40404212549328805,0.5474585801362991,0.513721051812172,0.5305898159742355,0.40613469965755944
2,1,0.4120871305465698,0.4074073374271393,0.5954790949821472,0.6057307898998261,0.6006049424409867,0.40974723398685453
2,2,0.35619709119200704,0.3859879717230797,0.5662163764238357,0.5824583351612092,0.5743373557925224,0.3710925314575434
2,3,0.2836426094174385,0.29283444173634054,0.3231463901698589,0.3283726297318935,0.3257595099508762,0.28823852557688956
2,4,0.4643278539180756,0.3885179370641708,0.5811046004295349,0.5617115139961243,0.5714080572128296,0.4264228954911232
2,5,0.3255200058221817,0.33228493891656397,0.44178336262702944,0.45281854420900347,0.44730095341801646,0.32890247236937287
2,6,0.3197862321510911,0.30649160873144865,0.37667116746306417,0.3874982617795467,0.38208471462130544,0.3131389204412699
2,7,0.4221835143864155,0.4225137114524841,0.5604410737752914,0.5378896594047546,0.549165366590023,0.4223486129194498
2,8,0.40282197408378123,0.4026818539947271,0.5633381366729736,0.5233389794826507,0.5433385580778122,0.40275191403925414
2,9,0.448169082403183,0.4609410375356674,0.6383231431245804,0.626944574713707,0.6326338589191437,0.4545550599694252
2,10,0.41777078732848166,0.42303972989320754,0.5414189264178276,0.514492292702198,0.5279556095600129,0.4204052586108446
2,11,0.4299692869186401,0.4302820019423962,0.5795986831188202,0.5325430810451508,0.5560708820819855,0.43012564443051815
2,12,0.42528994753956795,0.4191841885447502,0.5489653050899506,0.5259802401065826,0.5374727725982666,0.4222370680421591
2,13,0.4677442848682404,0.4593252375721931,0.608129233121872,0.5789586544036865,0.5935439437627792,0.46353476122021675
2,14,0.44337393194437025,0.45639889091253283,0.6357604801654816,0.6110415816307068,0.6234010308980942,0.44988641142845154
2,15,0.4104799382388592,0.38262453600764273,0.6397651821374893,0.6119619965553283,0.6258635893464088,0.39655223712325094
2,16,0.432054590433836,0.4397922016680241,0.5780939817428589,0.5347672790288925,0.5564306303858757,0.43592339605093
2,17,0.34751361384987833,0.3388280123472214,0.547948157787323,0.5288512200117111,0.5383996888995171,0.34317081309854985
2,18,0.3485861077904701,0.2786865159869194,0.3985096037387848,0.3524950832128525,0.3755023434758187,0.3136363118886948
2,19,0.43722024857997893,0.43760615587234497,0.6659639060497284,0.6515104949474335,0.658737200498581,0.437413202226162
2,20,0.3435216784477234,0.3432203456759453,0.595123553276062,0.5565883457660675,0.5758559495210648,0.34337101206183435
2,21,0.4880048394203186,0.5176623985171318,0.6558775961399078,0.6656014084815979,0.6607395023107528,0.5028336189687252
2,22,0.4053902417421341,0.4376588225364685,0.6613384842872619,0.5969442069530487,0.6291413456201553,0.4215245321393013
2,23,0.4903851419687271,0.4981685936450958,0.6519936621189117,0.6565240025520325,0.6542588323354721,0.4942768678069115
2,24,0.48756617307662964,0.49139598906040194,0.640201735496521,0.5973174422979355,0.6187595888972283,0.4894810810685158
2,25,0.45420251078903673,0.46802064403891563,0.6896980792284012,0.6875862717628479,0.6886421754956246,0.4611115774139762
2,26,0.2980728641152382,0.28175830766558646,0.5024513840675354,0.476471608877182,0.4894614964723587,0.28991558589041233
2,27,0.44285165406763555,0.45162165705114604,0.5128022655844688,0.5508722499012947,0.5318372577428818,0.4472366555593908
3,0,0.35738771948963405,0.3671440066769719,0.674489152431488,0.6333425581455231,0.6539158552885056,0.362265863083303
3,1,0.37873075818642976,0.38156182430684565,0.47370830178260803,0.4733940176665783,0.47355115972459316,0.3801462912466377
3,2,0.41116074584424495,0.4200232893228531,0.4671954847872257,0.45720480680465697,0.4622001457959414,0.415592017583549
3,3,0.37400020540226253,0.37550327121280136,0.399201999604702,0.3844805769622326,0.3918412882834673,0.37475173830753195
3,4,0.4090094417333603,0.3877187617123127,0.4956517979502678,0.475348187983036,0.4854999929666519,0.3983641017228365
3,5,0.3549098687246442,0.3549053486436605,0.5244407579302788,0.5029370918869972,0.513688924908638,0.3549076086841524
3,6,0.3897331180050969,0.3964374292641878,0.5005917742848396,0.4938745550811291,0.49723316468298434,0.39308527363464235
3,7,0.5521950833499432,0.5624011643230915,0.6364734023809433,0.6451766073703766,0.64082500487566,0.5572981238365173
3,8,0.40876216292381284,0.351245653629303,0.45587763786315916,0.47081848084926603,0.4633480593562126,0.38000390827655794
