query,layer,head,manual_current_share,eager_current_share,manual_per_token_ratio,eager_per_token_ratio,abs_current_share_diff,num_observations
local,14,6,0.5616482257843017,0.05884595364332199,0.6766272395849228,0.01762196756899357,0.5028022766113281,5
local,14,7,0.6320019781589508,0.17715029418468475,0.6110195815563202,0.06565061584115028,0.4548516869544983,5
local,14,8,0.19510855227708818,0.1743848703801632,0.07310694083571434,0.07670921664685011,0.12790434211492538,5
local,14,9,0.6939364612102509,0.5346428029239177,0.9007360875606537,0.7718135204166174,0.16968520283699035,5
local,14,10,0.7204034805297852,0.6749944806098938,0.9273788273334503,0.7585151731967926,0.08764833211898804,5
local,14,11,0.6971364736557006,0.7399053931236267,0.767348462343216,1.456591159105301,0.10010684728622436,5
local,14,12,0.7154787182807922,0.4573502242565155,0.8779770135879517,0.26950989067554476,0.25812849402427673,5
local,14,13,0.583159726858139,0.6612166225910187,0.6849079966545105,1.079199755191803,0.11965709924697876,5
local,14,14,0.5282851099967957,0.3541939064860344,0.36151827275753023,0.3169337432831526,0.257759290933609,5
local,14,15,0.5179307281970977,0.22365481331944465,0.35545386373996735,0.10758905224502087,0.30810548067092897,5
local,14,16,0.6750954866409302,0.5788616120815278,0.6567263126373291,1.1253462612628937,0.23309023976325988,5
local,14,17,0.49900089502334594,0.3282203361392021,0.32359713315963745,0.22890723459422588,0.19348952174186707,5
local,14,18,0.6580909490585327,0.20211074203252793,0.6370437026023865,0.08065598793327808,0.4559801995754242,5
local,14,19,0.5625783622264862,0.3312400683760643,0.5061611086130142,0.18654074072837828,0.2463234007358551,5
local,14,20,0.7088528871536255,0.366872763633728,0.846683669090271,0.232321859896183,0.341980117559433,5
local,14,21,0.6673042476177216,0.4088817059993744,0.6608533680438995,0.21427291631698608,0.25842254161834716,5
local,14,22,0.7784636378288269,0.6008947253227234,1.1343073964118957,0.5121101498603821,0.17756891250610352,5
local,14,23,0.7308427691459656,0.5111709892749786,0.8758502542972565,0.42861332893371584,0.2752337515354156,5
local,14,24,0.7282720804214478,0.6498618423938751,0.8786624431610107,0.7877226650714875,0.1398828446865082,5
local,14,25,0.7463081836700439,0.34690416865050794,1.6794381737709045,0.2989004860632122,0.3994040131568909,5
local,14,26,0.6134182572364807,0.4468783885240555,0.8161119937896728,0.29168342873454095,0.16653986871242524,5
local,14,27,0.7007857203483582,0.25412292331457137,0.7061400353908539,0.1011554904282093,0.44666279554367067,5
local,15,0,0.8139770090579986,0.762197345495224,5.650791943073273,5.2257289737463,0.06812218427658082,5
local,15,1,0.6945625185966492,0.7053021788597107,0.7751922905445099,0.7836044311523438,0.06717491149902344,5
local,15,2,0.7848456621170044,0.7529123246669769,1.934111338853836,3.637722384929657,0.07704749703407288,5
local,15,3,0.8046353220939636,0.7276369780302048,2.4465436577796935,4.539405860006809,0.11659289598464966,5
