layer,kv_head,u_int_mean,u_int_median,cov_int_mean,cov_rand_int_mean,cov_oracle_int_mean,boundary_ratio_mean,future_mass_internal_mean,selector_mass_internal_mean,num_observations
21,1,0.9589314810817866,0.9578210386323802,0.693348931115016,0.02141282439869864,0.7218013777044343,0.4303221008323871,0.07992535550147295,0.1263014581054449,4
21,2,0.9309121490727262,0.9348238087572929,0.7019266854895647,0.019039643846151387,0.7530913625956237,0.36585734862073105,0.05519723612815142,0.14228064380586147,4
21,3,0.9578357672991621,0.9726113875183213,0.7001046279484237,0.024711089156077257,0.7293195200948319,0.31773012502678827,0.11068368516862392,0.16533898934721947,4
22,0,0.823920321519895,0.863014281816685,0.7179736336446669,0.018643126459236187,0.8712723962403106,0.2890041746441534,0.23791109398007393,0.46677739173173904,4
22,1,0.9356284755837085,0.9495929159717147,0.7012750754154367,0.025680097383166192,0.7463281566213065,0.3000499777041328,0.134551502764225,0.26152678206562996,4
22,2,0.9818540933585408,0.9835188359171626,0.7403844050262224,0.025049775403015437,0.7533823954979266,0.3127590441478919,0.14364746771752834,0.1659182421863079,4
22,3,0.9155481229969924,0.9462852161243739,0.759683200717826,0.02247226900379184,0.8259367882994251,0.27719762574737405,0.1782219037413597,0.3542668968439102,4
23,0,0.9670249076695026,0.9655599836326492,0.7068447174818411,0.016719515199103363,0.7300552997708298,0.2765137739851673,0.12399988621473312,0.16924406029284,4
23,1,0.8990580706327385,0.9404219976747319,0.7690410538332298,0.025808287590830103,0.852729443746499,0.3043301255857561,0.11678853631019592,0.27839838713407516,4
23,2,0.9453908050643021,0.9511293479496225,0.8052999144215144,0.02002395138279395,0.8497488998291519,0.3515495189387343,0.12710707634687424,0.24738143756985664,4
23,3,0.9878630423841435,0.9878432290665748,0.6971695377225642,0.020172099454776417,0.7054716966898795,0.629254951256461,0.02641823748126626,0.051915873773396015,4
24,0,0.9418324774856496,0.9651866821222614,0.4402614638120278,0.02079871903258778,0.4560514017937984,0.3652183015024681,0.030442185699939728,0.06936643226072192,4
24,1,0.9840362657269379,0.9860316100010773,0.850599590918426,0.014786107756599528,0.8640732263069425,0.2880093545427946,0.23851341102272272,0.2918877173215151,4
24,2,0.9528912132520544,0.9616779747527943,0.672426308811487,0.02109013758632835,0.7040817404723836,0.33684388511216773,0.10235977917909622,0.16130269691348076,4
24,3,0.8868837794943305,0.8825531595435129,0.619301108251547,0.019389309750734912,0.6977939705822981,0.3246779984643639,0.13320819847285748,0.19802742823958397,4
25,0,0.9812218947831725,0.9868131074432668,0.6465370377404349,0.020297919529009972,0.6576230356916063,0.5221976095594922,0.047209884971380234,0.08107368368655443,4
25,1,0.9596446218008468,0.9641742966174713,0.7712750892100624,0.020853054628553056,0.8021864091564612,0.28397040908788435,0.2438451088964939,0.3909210376441479,4
25,2,0.9697525035043878,0.9730117213485945,0.7273699218840545,0.02084098348719136,0.7498710828909094,0.5749676487847377,0.046070351265370846,0.08952171076089144,4
25,3,0.9384954067356681,0.9434300375947523,0.7301332616429881,0.022756798654006455,0.7759703153337647,0.33507070466992717,0.09295611921697855,0.1857605893164873,4
26,0,0.962942373945794,0.9640062076030622,0.7885233627877312,0.024821961197373076,0.8179209386446856,0.3646956306119316,0.18356391787528992,0.2895534932613373,4
26,1,0.977784340312402,0.9771363226767132,0.8052701649962969,0.01967222184169894,0.8231378726113745,0.5290376997468649,0.11220031511038542,0.16006608493626118,4
26,2,0.9471488501547343,0.9544646486261554,0.791078071141786,0.020183106576877302,0.8339265130863989,0.27770994964929935,0.23874511756002903,0.36935146152973175,4
26,3,0.8853964211003732,0.8694126804120559,0.7157043685752998,0.02146386405450295,0.8051567718267243,0.3327990119367433,0.14106754027307034,0.23911119252443314,4
27,0,0.9577916883732676,0.9557510833364237,0.7669530573505453,0.023270244108319977,0.7996362953515889,0.37095985526972697,0.22647634893655777,0.3101048730313778,4
27,1,0.9908937438476221,0.9925484249449958,0.7025625919548373,0.018852598421242317,0.7068499014891113,0.492568401875834,0.03391048897590032,0.06320394056716339,4
27,2,0.962078330580637,0.964743951986591,0.7559327773549053,0.01877131341217648,0.7846178473765261,0.24366232520068132,0.2994384467601776,0.41991402208805084,4
27,3,0.9383043164044813,0.9386998607497018,0.7048247195602204,0.02387944235184363,0.7494800133165642,0.2986274731752836,0.28435515984892845,0.3839943967759609,4
