class,bin,x,mean_density,local_density,global_density
memory,174,0.8724999999999999,2.4471064149013595e-06,2.936731036314015e-06,1.9574817934887044e-06
memory,175,0.8775,2.504771530804466e-06,2.928897941494774e-06,2.0806451201141582e-06
memory,176,0.8825,3.2448817208503828e-06,3.77245847152915e-06,2.717304970171615e-06
memory,177,0.8875,1.8469554669272307e-06,2.1841724863956094e-06,1.509738447458852e-06
memory,178,0.8925,2.846013081261254e-06,3.3373345938901946e-06,2.3546915686323135e-06
memory,179,0.8975,2.6660766577281588e-06,3.1003315508291077e-06,2.2318217646272102e-06
memory,180,0.9025,1.5161810105686905e-05,1.846109731181437e-05,1.186252289955944e-05
memory,181,0.9075,6.701350382453941e-06,8.502791497197928e-06,4.899909267709954e-06
memory,182,0.9125,3.585752643126787e-06,4.441612287453833e-06,2.729892998799742e-06
memory,183,0.9175,2.5718327064185227e-06,3.2751172936260244e-06,1.8685481192110215e-06
memory,184,0.9225,2.2137543378459828e-06,2.7132926992289985e-06,1.714215976462967e-06
memory,185,0.9275,1.858635180031552e-06,2.3008395959618315e-06,1.4164307641012724e-06
memory,186,0.9325,2.0357359875629004e-06,2.508208361468683e-06,1.5632636136571182e-06
memory,187,0.9375,1.9498269098468805e-06,2.4187756377773734e-06,1.4808781819163874e-06
memory,188,0.9425,2.4508337854290285e-06,3.012621572143611e-06,1.8890459987144456e-06
memory,189,0.9475,2.2649669661197473e-06,2.80641201170924e-06,1.7235219205302543e-06
memory,190,0.9525,2.47984634044257e-06,3.060113134895287e-06,1.8995795459898533e-06
memory,191,0.9575,2.401629524607406e-06,3.01419546822778e-06,1.7890635809870324e-06
memory,192,0.9624999999999999,3.0685407728421003e-06,3.840443103963598e-06,2.2966384417206024e-06
memory,193,0.9674999999999999,3.1753409518399157e-06,3.976975568443541e-06,2.3737063352362905e-06
memory,194,0.9724999999999999,3.3048686420469695e-06,4.116159173806067e-06,2.4935781102878723e-06
memory,195,0.9774999999999999,2.8661919681401554e-06,3.5309025972824143e-06,2.201481338997896e-06
memory,196,0.9824999999999999,3.9692854878827445e-06,4.8499787652644955e-06,3.0885922105009927e-06
memory,197,0.9874999999999999,3.3016528418032706e-06,4.013617744997693e-06,2.5896879386088477e-06
memory,198,0.9924999999999999,4.834008950748969e-06,5.811461318290793e-06,3.8565565832071455e-06
memory,199,0.9975,6.660163145929269e-06,7.998996386356942e-06,5.3213299055015965e-06
current,0,0.0025,0.00035952723221475047,0.0003849930142341573,0.0003340614501953437
current,1,0.0075,0.0001414892347300165,0.00015056940957255708,0.00013240905988747592
current,2,0.0125,8.48490284977108e-05,8.970456969038863e-05,7.999348730503297e-05
current,3,0.017499999999999998,6.256557307216548e-05,6.528406844212738e-05,5.9847077702203577e-05
current,4,0.0225,4.229555725235709e-05,4.4937912461337675e-05,3.9653202043376504e-05
current,5,0.0275,4.414847324550986e-05,4.7630302622361316e-05,4.0666643868658416e-05
current,6,0.0325,3.1823615578700654e-05,3.486015776889626e-05,2.8787073388505045e-05
current,7,0.037500000000000006,3.068425422203968e-05,3.3323822800434535e-05,2.804468564364483e-05
current,8,0.0425,4.403462843872762e-05,4.609627688655461e-05,4.197297999090063e-05
current,9,0.0475,4.325672321003316e-05,4.686009210207555e-05,3.9653354317990774e-05
current,10,0.052500000000000005,3.0022970542472905e-05,3.198599299639423e-05,2.8059948088551582e-05
current,11,0.0575,5.048105542468842e-05,5.431033028663252e-05,4.6651780562744314e-05
current,12,0.0625,4.879257339895338e-05,5.253727120279007e-05,4.504787559511669e-05
current,13,0.0675,2.6307621158076937e-05,2.684238524700696e-05,2.577285706914692e-05
current,14,0.07250000000000001,6.739326888226639e-06,6.974279196894459e-06,6.504374579558818e-06
current,15,0.0775,3.0558243870426174e-05,3.2274865959670016e-05,2.8841621781182325e-05
current,16,0.0825,1.0246999956294005e-05,1.1069554913428254e-05,9.424444999159756e-06
current,17,0.08750000000000001,1.804051890035181e-05,1.8942164849342838e-05,1.7138872951360785e-05
current,18,0.0925,1.5475265316968973e-05,1.7013452773821387e-05,1.3937077860116563e-05
current,19,0.0975,2.0356405056028994e-05,2.1894249158595568e-05,1.8818560953462424e-05
current,20,0.10250000000000001,6.865448834602439e-06,7.2813704357279425e-06,6.449527233476936e-06
current,21,0.1075,6.657575825752981e-06,7.0165993952877535e-06,6.298552256218209e-06
current,22,0.1125,1.3996048912573373e-05,1.4803477503954588e-05,1.3188620321192157e-05
current,23,0.11750000000000001,1.3255872864512888e-05,1.3804247215278207e-05,1.2707498513747567e-05
current,24,0.1225,1.0940633852680707e-05,1.1543781030920175e-05,1.033748667444124e-05
current,25,0.1275,8.997312172943107e-06,9.529042822803209e-06,8.465581523083003e-06
current,26,0.1325,9.390519407150221e-06,9.635633561255308e-06,9.145405253045132e-06
current,27,0.1375,7.928699022767278e-06,8.133959471866671e-06,7.723438573667887e-06
current,28,0.14250000000000002,8.933992340725757e-06,9.190393232632073e-06,8.677591448819438e-06
current,29,0.1475,1.5091367249797937e-05,1.5713364406585165e-05,1.446937009301071e-05
current,30,0.1525,2.0379884366991997e-05,2.1649644144164622e-05,1.9110124589819373e-05
current,31,0.1575,1.6342838145634785e-05,1.7041088396881193e-05,1.5644587894388378e-05
current,32,0.1625,4.128886063012064e-05,4.4451916719194246e-05,3.812580454104702e-05
current,33,0.1675,1.710157192137883e-05,1.78589463176279e-05,1.6344197525129758e-05
current,34,0.17250000000000001,1.7254898716379553e-05,1.822574428066682e-05,1.6284053152092284e-05
current,35,0.17750000000000002,8.302429095365015e-06,8.522075294936938e-06,8.082782895793092e-06
current,36,0.1825,8.673510140783318e-06,8.897477132391092e-06,8.449543149175547e-06
current,37,0.1875,1.0073401305341825e-05,1.0314862357199082e-05,9.831940253484568e-06
current,38,0.1925,1.0869794355826357e-05,1.1106436220971586e-05,1.0633152490681128e-05
current,39,0.1975,3.722219419010465e-05,4.454444470303764e-05,2.9899943677171656e-05
current,40,0.2025,0.000110115617458637,0.0001135559639777739,0.00010667527093950007
