layer,kv_head,readout_shape_score,readout_shape_score_median,peak_readout_shape_score,spiky_readout_score,internal_readout_share,memory_readout_share,current_readout_share,current_core_readout_share,clean_internal_readout_share,internal_topk_concentration,internal_top1_concentration,internal_top4_concentration,internal_top8_concentration,internal_top100_mean_attention,internal_peakiness,internal_peak_to_median,internal_log_peak_to_median,previous_boundary_ratio,current_start_boundary_ratio,transition_boundary_ratio,boundary_ratio,boundary_suppression,num_observations
5,3,0.18867784175035704,0.15335379680403988,0.10207078906034754,0.541487588218685,0.41252306131989147,0.9153942933752777,0.08460569282288277,0.08007405840628506,0.7915651633907685,0.7367513764186264,0.1345197713657725,0.33674823304770035,0.4735641714269653,0.0013441766432691793,0.5199079647660255,487786.0472606745,11.600564558669447,0.3250136279415184,0.0560493694217409,0.5074028704944521,0.5074028704944521,0.4925971295055479,80
6,0,0.23682229367498747,0.19928654199287643,0.15073578796099918,1.2645561866795147,0.42620779919237683,0.8288458228699437,0.17115417284096213,0.15409140854493086,0.6951369794139339,0.7683603067946818,0.19142281100717887,0.46650718456588225,0.6159073457454117,0.0013672461526370583,0.5625174287706614,663292690.2180383,12.340834615820388,0.38093934024211346,0.08007797207597342,0.41970078251876874,0.41970078251876874,0.5802992174812313,80
6,1,0.18977384810185263,0.21423085418201354,0.0864881645447455,0.25033209692519187,0.49432495251876435,0.9227271374130369,0.07727286240276197,0.07359202212374995,0.779969940526143,0.561104697359079,0.057170609614390154,0.17199773260268686,0.27118173929852474,0.0018361304269205903,0.41750865168869494,64776.38508596246,10.017765195513531,0.28750760872030934,0.05384598591840637,0.43208302086293715,0.43208302086293715,0.5679169791370628,80
6,2,0.1775816100105766,0.16849475018829224,0.0816967694630294,0.31350640673730695,0.46518748646761454,0.8195608228866643,0.1804391832851699,0.16803251675146225,0.696746264666045,0.5687770188457318,0.08926104083228478,0.23412876901911456,0.33638893636312883,0.002234395991976612,0.4024045929312706,310080519.52673525,10.022203681695729,0.29101972719921787,0.08638361440136483,0.36677999798336935,0.36677999798336935,0.6332200020166308,80
6,3,0.2124654022783742,0.18677781848337516,0.11333226484606651,0.6269872671373639,0.48291741869776394,0.9047018323379825,0.09529817037791374,0.08866899590693668,0.763348016710099,0.6563781629046281,0.10877960764787749,0.3043659526508405,0.4375967454027421,0.002330827356468035,0.4476219642907381,203172.18683982253,10.202216635876596,0.3387126579943339,0.076588005363817,0.42841358924666695,0.42841358924666695,0.571586410753333,80
7,0,0.20654068126193628,0.20846494219203543,0.10460078162700101,0.5170429430268078,0.46582130552002765,0.9565121253138834,0.04348787170389981,0.039898645942664616,0.8182524144945604,0.6680155618906519,0.09675959109338045,0.27441939853732933,0.4066622431332191,0.0014909406308037277,0.47241486310958863,1450717.3543508514,11.996782215267563,0.3412974320610329,0.07129603078602645,0.49428004988860674,0.49428004988860674,0.5057199501113933,80
7,1,0.2094078755955139,0.18946627977624791,0.11246865399525593,0.781171109920339,0.46214204724718133,0.9325130461743552,0.06748694696561938,0.0629014263420007,0.8087343378780026,0.686429799421776,0.13170666509398563,0.3477496274159625,0.4660601403414579,0.0019356011722891254,0.49903339613229036,151117140.22365654,12.423441309293862,0.35077438245256637,0.06840981291252549,0.4749565285490208,0.4749565285490208,0.5250434714509792,80
7,2,0.1509121267441187,0.1587023155087121,0.0640829034304451,0.22080068328077934,0.468901684284943,0.9088714544340002,0.09112854980921195,0.08857897668476589,0.7671487004283388,0.5124623629981296,0.06258263415048185,0.1819131829604413,0.2739951114720552,0.0010983757909002634,0.39174763709306715,61748.34674588124,9.603461565210926,0.30349545978804643,0.031100050726875973,0.44251933531963933,0.44251933531963933,0.5574806646803607,80
7,3,0.1637936375240582,0.15810071451322666,0.07439597118064939,0.32838971456244687,0.4467419803914545,0.9081989382860227,0.09180106311764658,0.08690829878832199,0.775354770023768,0.5909387637854782,0.08971255658863451,0.2365457082482208,0.34271725473962433,0.001260419536038171,0.42890078350901606,169953.37919297855,10.513437092941142,0.28073681551314067,0.05692013851146375,0.46634972672385144,0.46634972672385144,0.5336502732761486,80
8,0,0.15921154485409594,0.16830646442112002,0.07207679212066732,0.2616038698360413,0.41119130627097544,0.840358232612599,0.15964177107861047,0.15513324642722273,0.6615960457222365,0.5595104967536162,0.07032422654519102,0.20152789314930444,0.3051489234241894,0.001747033932508657,0.4099940948188305,75745.30953062324,10.014145942763887,0.2631882663025018,0.02962592043738842,0.43367544722739115,0.43367544722739115,0.5663245527726088,80
8,1,0.16007687735812942,0.16199297557298037,0.0750665127875467,0.307163013656356,0.4281378010495045,0.8801206375423571,0.11987935971217016,0.11628005569468461,0.707803796771857,0.5812086989155029,0.0758691632975874,0.2100690439986012,0.3119076912747917,0.0018837976153378122,0.4305383551865816,1292647538.1719027,11.854642823272323,0.26647539643442286,0.03814315940513657,0.4555821435186679,0.4555821435186679,0.5444178564813321,80
8,2,0.19346466440440974,0.15939699395945078,0.10513790362431326,0.7025290605056156,0.4045636520088512,0.8476213048880197,0.1523787021428865,0.1374639528412967,0.6840973333903141,0.6822227096047315,0.15112043726409713,0.3479272164846602,0.46777137084023,0.0008617704902505352,0.4887244746088982,1028746878.8593146,12.013954529308453,0.3368325677064773,0.08734221435387676,0.4579723890325793,0.4579723890325793,0.5420276109674207,80
8,3,0.22183035932846512,0.22234313912399434,0.11561439983824387,0.5354042032778458,0.4487086946919413,0.9204433034783112,0.0795566984269668,0.07766413312449734,0.7424334660996497,0.665148210614265,0.09232283765045728,0.2650809436756658,0.3893699502663819,0.0016854531995363687,0.46859070733189584,52486876.51268111,11.48401467458832,0.3069428645714964,0.029285312523472672,0.47362718082971317,0.47362718082971317,0.5263728191702868,80
9,0,0.17777176700766711,0.18143979186948206,0.08541170805348122,0.2908453563647687,0.4238867469062181,0.8736345063404688,0.12636549602330027,0.12139327804307609,0.6942651485559891,0.6176472094597609,0.07299614063011144,0.20940184439591278,0.3215780896893676,0.0019334194806617689,0.4402643028646708,70246.55198715122,10.046695800377314,0.3034986942780108,0.045213190496617754,0.4547199784718837,0.4547199784718837,0.5452800215281163,80
9,1,0.1928488182971994,0.215578268138578,0.09246059923138474,0.3571962092459891,0.4658748665901589,0.906202102613598,0.09379790602859321,0.09081836155616645,0.7506133150406625,0.5946203433433901,0.08265991599259373,0.2152312369794782,0.321075883975297,0.0018915909047677814,0.42794171832501887,118265.03919810169,10.359006272734,0.32147958596201526,0.036862978587321495,0.4433067808141723,0.4433067808141723,0.5566932191858277,80
9,2,0.14552151556100695,0.15191278951879306,0.06270823386700455,0.2162244203592297,0.43002132282700345,0.8628035676272992,0.13719641875642982,0.1346057047533866,0.6999495381980461,0.5229294141085314,0.07050359605610779,0.18799328679363128,0.2797148351508544,0.00185788891071752,0.38783418759703636,35201.22263852267,9.32923766191243,0.32125541659159074,0.021529909400995938,0.4353729623412546,0.4353729623412546,0.5646270376587454,80
9,3,0.1724562074361878,0.1929143933824572,0.08255131663045398,0.3506358711965137,0.43023394382108926,0.8887988274564489,0.11120118738059619,0.10705480926182617,0.7266185725731407,0.6250994287616397,0.08145896964894674,0.22179685744167563,0.33232947819615777,0.0021601694377977763,0.45041958391666415,429222.37353152345,11.125432233427595,0.2851679516971539,0.04646862865829759,0.4627112575943868,0.4627112575943868,0.5372887424056132,80
10,0,0.19126829176864288,0.1749066538911907,0.0858015786025857,0.34383574516434134,0.46131458182513574,0.8090242968090189,0.19097570380827072,0.18282067028009336,0.6751233336914055,0.5563645002288127,0.07960586520197742,0.228127428806948,0.3269505707011164,0.002138016126070852,0.40309952180832626,85205.28686141814,9.71764509119551,0.2921076964245305,0.0445184874584308,0.35586474968815734,0.35586474968815734,0.6441352503118426,80
10,1,0.22956738680234298,0.21247550654192865,0.11413108459910618,0.5608509374453006,0.5021243313543442,0.9207173521178106,0.07928265402618377,0.07560833358531613,0.7788155124908177,0.6382167856416578,0.10608229630841592,0.2731597852036386,0.38631249811624185,0.0018243768308906284,0.45553531739860775,788914205.9355465,11.822678217787601,0.32033569863616135,0.041152768471121634,0.42226734448943615,0.42226734448943615,0.5777326555105639,80
10,2,0.1859921282188512,0.17649691684500032,0.0868610777867632,0.42422267575952366,0.461422103881212,0.8785391023934814,0.12146090635244984,0.11791935959788266,0.7456364790723955,0.6069877239220738,0.1022104032824479,0.2551119022799254,0.36452627714202607,0.0021948168589119633,0.44497888498008253,574559923.2859579,11.3436663431651,0.2933181217134852,0.02812925368376141,0.4206585294176284,0.4206585294176284,0.5793414705823716,80
