layer,kv_head,readout_shape_score,readout_shape_score_median,peak_readout_shape_score,internal_readout_share,memory_readout_share,current_readout_share,internal_topk_concentration,internal_peakiness,boundary_ratio,boundary_suppression,num_observations
13,2,0.016267258501565393,0.005849655150003374,0.007768708906748572,0.09293179460081506,0.39414605534036207,0.6058539371484485,0.3621232360785869,0.28238990157842636,0.6323748787530753,0.36762512124692476,4
13,3,0.011626894254653505,0.004474638864743797,0.0027474087361760414,0.094811973266609,0.36099082763431,0.6390092002572042,0.25492960894403016,0.20057018101215363,0.64733796987414,0.35266203012585995,4
14,0,0.06984620387866754,0.0471688353991232,0.03842112636693417,0.214974458830618,0.7429713216507383,0.2570286751296565,0.5933967517238266,0.39591675996780396,0.6866474451830308,0.3133525548169693,4
14,1,0.044697145926016084,0.05151219962039847,0.01811014119947199,0.1662206307390033,0.43057639142762755,0.5694236586958342,0.5708296412351934,0.3691396042704582,0.5900095498446868,0.4099904501553132,4
14,2,0.0342863506116504,0.03353029421180404,0.011164886737187123,0.21443748617182085,0.6393186560904545,0.3606813917071132,0.512492682469605,0.35152071714401245,0.664395964962815,0.33560403503718494,4
14,3,0.027557118239553178,0.01257152674868682,0.009810732586009566,0.14284646367115658,0.4185392819382582,0.5814606916258597,0.4116322359655122,0.30307555198669434,0.6181122778303745,0.3818877221696255,4
15,0,0.010714607560827745,0.0094448741931396,0.0017995459755425682,0.09616692956701918,0.22204523663351844,0.7779547758297156,0.19757902489389428,0.1772957295179367,0.4528439409630576,0.5471560590369424,4
15,1,0.0014937600456261955,0.000966674416051104,0.00022671966734325038,0.02994779186456466,0.2372390665908233,0.7627608551442869,0.23801492878392977,0.17688170075416565,0.6280559624549347,0.3719440375450654,4
15,2,0.038888790077170485,0.04207654950319419,0.016341151846676668,0.14737271048865747,0.4404955978683619,0.5595044085088136,0.5204717589351475,0.3479755222797394,0.6153376313701381,0.3846623686298619,4
15,3,0.006961295540791944,0.0029544916482319846,0.0011221351337022322,0.08298913965292291,0.3385297127006257,0.6614703063972321,0.20207119557385705,0.13919231295585632,0.6773715379131496,0.32262846208685036,4
16,0,0.03997396946177839,0.03639585982197153,0.01448433368675009,0.17858734955334724,0.4317003852707164,0.5682995981300143,0.43301227154558414,0.2944376617670059,0.5489407788301552,0.4510592211698448,4
16,1,0.1389778373949623,0.13106430707286007,0.08206351660359436,0.28733702408383704,0.8457906437892034,0.15420933574186219,0.6246258529342998,0.41541145741939545,0.6602867797526069,0.33971322024739314,4
16,2,0.05714759582226487,0.05414442859737659,0.02743879193161994,0.2041606945460117,0.5867564722234724,0.4132435029288978,0.5716653766837004,0.39089781045913696,0.6320657987640648,0.3679342012359353,4
16,3,0.01676174735450934,0.003540999673603125,0.005632510680862895,0.0910343851374944,0.47952684589336847,0.5204731562809296,0.4486039819833192,0.30854998528957367,0.7697957926360702,0.2302042073639298,4
17,0,0.004922967468779466,0.0029220401177411735,0.0015777998813810625,0.052903244415260633,0.2935464424982851,0.706453565197139,0.319968789481215,0.24656586349010468,0.7453708413459866,0.25462915865401337,4
